count,geometryx,geometryy,x_screen,y_screen
1,-0.13469,51.514453,655.9877326,145.4591085
1,-0.134818,51.514845,642.4965326,78.81910853
1,-0.135704,51.514389,549.1121326,156.3391085
1,-0.135561,51.514399,564.1843326,154.6391085
2,-0.135649,51.514335,554.9091326,165.5191085
1,-0.135415,51.514224,579.5727326,184.3891085
1,-0.135576,51.51422,562.6033326,185.0691085
2,-0.135357,51.514145,585.6859326,197.8191085
3,-0.135475,51.514108,573.2487326,204.1091085
2,-0.136226,51.514359,494.0933326,161.4391085
1,-0.136328,51.514326,483.3425326,167.0491085
1,-0.136222,51.514544,494.5149326,129.9891085
1,-0.136117,51.514569,505.5819326,125.7391085
1,-0.13603,51.514586,514.7517326,122.8491085
1,-0.136266,51.514612,489.8773326,118.4291085
2,-0.136421,51.514575,473.5403326,124.7191085
3,-0.136935,51.514507,419.3647326,136.2791085
3,-0.136931,51.514274,419.7863326,175.8891085
1,-0.136799,51.514293,433.6991326,172.6591085
1,-0.13678,51.514058,435.7017326,212.6091085
3,-0.136696,51.514148,444.5553326,197.3091085
1,-0.136712,51.513961,442.8689326,229.0991085
1,-0.136123,51.514027,504.9495326,217.8791085
1,-0.135958,51.514076,522.3405326,209.5491085
1,-0.135883,51.514096,530.2455326,206.1491085
2,-0.135788,51.514134,540.2585326,199.6891085
2,-0.135849,51.514033,533.8291326,216.8591085
4,-0.136008,51.513996,517.0705326,223.1491085
5,-0.136099,51.51396,507.4791326,229.2691085
2,-0.13617,51.513945,499.9957326,231.8191085
5,-0.135485,51.513821,572.1947326,252.8991085
5,-0.135374,51.513999,583.8941326,222.6391085
3,-0.135582,51.513795,561.9709326,257.3191085
3,-0.135679,51.513766,551.7471326,262.2491085
1,-0.135814,51.513726,537.5181326,269.0491085
5,-0.135905,51.513692,527.9267326,274.8291085
4,-0.135992,51.513672,518.7569326,278.2291085
4,-0.136217,51.513603,495.0419326,289.9591085
1,-0.136579,51.513482,456.8871326,310.5291085
4,-0.136675,51.513458,446.7687326,314.6091085
1,-0.136764,51.513429,437.3881326,319.5391085
3,-0.136877,51.513404,425.4779326,323.7891085
2,-0.136953,51.513359,417.4675326,331.4391085
1,-0.13723,51.513378,388.2717326,328.2091085
2,-0.136651,51.513855,449.2983326,247.1191085
1,-0.136503,51.513875,464.8975326,243.7191085
1,-0.137367,51.513565,373.8319326,296.4191085
2,-0.137422,51.513616,368.0349326,287.7491085
3,-0.137472,51.513742,362.7649326,266.3291085
1,-0.1383,51.513918,275.4937326,236.4091085
1,-0.137363,51.513772,374.2535326,261.2291085
4,-0.137995,51.513502,307.6407326,307.1291085
2,-0.138139,51.513712,292.4631326,271.4291085
2,-0.138239,51.513644,281.9231326,282.9891085
1,-0.138272,51.513711,278.4449326,271.5991085
5,-0.138083,51.514061,298.3655326,212.0991085
3,-0.137912,51.514748,316.3889326,95.30910853
2,-0.137707,51.514794,337.9959326,87.48910853
3,-0.137108,51.514526,401.1305326,133.0491085
2,-0.137065,51.514706,405.6627326,102.4491085
1,-0.138474,51.512311,257.1541326,509.5991085
1,-0.138123,51.511998,294.1495326,562.8091085
1,-0.137762,51.511856,332.1989326,586.9491085
-999,-0.136668,51.513341,447.5065326,334.4991085
-999,-0.139586,51.513876,139.9493326,243.5491085
-999,-0.139671,51.514906,130.9903326,68.44910853
-999,-0.13163,51.512354,978.5117326,502.2891085
-999,-0.133594,51.512139,771.5061326,538.8391085
-999,-0.135919,51.511542,526.4511326,640.3291085
-999,-0.133962,51.510019,732.7189326,899.2391085
-999,-0.138199,51.511295,286.1391326,682.3191085
